timestamp,x (in microteslas),y (in microteslas),z (in microteslas)
1454978708.331814,212.778839,93.375702,-678.625427
1454978708.351895,212.551636,92.925201,-678.325073
1454978708.371914,212.552994,93.225204,-678.326172
1454978708.391964,212.702988,93.225739,-678.325317
1454978708.412014,212.852844,93.150909,-678.699219
1454978708.432064,213.002838,93.151428,-678.698364
1454978708.452115,212.777390,93.075851,-678.474365
1454978708.472134,212.553833,93.374908,-678.626648
1454978708.492184,212.852737,93.151138,-678.474243
1454978708.512265,213.227753,93.152390,-678.547119
1454978708.532315,213.002121,93.001495,-678.622864
1454978708.552365,212.476944,93.000015,-678.250732
1454978708.572415,212.401749,92.924454,-678.550903
1454978708.592495,212.326370,92.849274,-678.476074
1454978708.612545,212.927841,93.151169,-678.698792
1454978708.632595,213.003479,93.301498,-678.623901
1454978708.652676,212.552689,93.150131,-678.400879
1454978708.672726,212.703674,93.375732,-678.325867
1454978708.692776,212.777084,93.000778,-678.549072
1454978708.712857,213.302841,93.152496,-678.696716
1454978708.732907,213.003143,93.226501,-678.623657
1454978708.752957,212.326370,92.849274,-678.476074
1454978708.773007,212.702377,93.075592,-678.474792
1454978708.793026,212.552383,93.075058,-678.475586
1454978708.813076,213.377762,93.152908,-678.546326
1454978708.833096,213.003677,93.376785,-678.324219
1454978708.853177,212.477081,92.999725,-678.550781
1454978708.873227,212.777969,93.226074,-678.249878
1454978708.893246,212.701279,92.850739,-678.323975
1454978708.913296,213.527512,93.078201,-678.770203
1454978708.933346,213.376999,93.003036,-678.395752
1454978708.953366,212.927811,93.151245,-678.623779
1454978708.973416,212.627731,93.150330,-678.475464
